"StockDatabaseID","StockKey","StockKeyLabel","StockKeyDescription","PreviousStockKey","PreviousStockKeyLabel","ActiveYear","SpeciesScientificName","SpeciesCommonName","EcoRegion","ExpertGroup","ExpertGroupDescription","AdviceDraftingGroup","AdviceDraftingGroupDescription","DataCategory","YearOfLastAssessment","AssessmentFrequency","YearOfNextAssessment","AssessmentType","AdviceReleaseDate","AdviceCategory","AdviceType","UseOfDiscardsInAdvice","PABufferApplied","TrophicGuild","FisheriesGuild","SizeGuild","Published","GeneratedOn","SectionNumber","AssessmentKey","ModifiedDate","ModelType","ModelName"
3411,169175,"nop.27.6a","Norway pout (Trisopterus esmarkii) in Division 6.a",136612,"nop-scow",2023,"Trisopterus esmarkii","Norway pout","Celtic Seas Ecoregion","WGCSE","Working Group for the Celtic Seas Ecoregion","ADGCS","Celtic Sea Advice Drafting Group","6.3",2021,3,2024,"no assessment",NA,"No advice","No advice","","No","pelagic planktivore","Pelagic","medium benthopelagic",TRUE,"2024-03-07T13:44:23.607+01:00","5.3.33",NA,"2023-01-05T10:19:05.723+01:00",NA,NA
3412,169172,"nep.27.6aoutFU","Norway lobster (Nephrops norvegicus) in Division 6.a, outside the functional units (West of Scotland)",169659,"nep-oth-6a",2023,"Nephrops norvegicus","Norway lobster","Celtic Seas Ecoregion","WGCSE","Working Group for the Celtic Seas Ecoregion","ADGNEPH","Celtic Sea Nephrops, anglerfish and Rockall megrim Advice Drafting Group","5.2",2023,3,2026,"no assessment",NA,"PA",NA,"not used","Yes in year(s) 2017, 2020","crustacean","Crustacean","crustacean",TRUE,"2024-03-07T13:44:23.607+01:00","5.3.29",18399,"2023-11-14T11:52:55.94+01:00",NA,NA
3413,169173,"nep.27.7outFU","Norway lobster (Nephrops norvegicus) in Subarea 7, outside the functional units (southern Celtic Seas, southwest of Ireland)",169660,"nep-oth-7",2023,"Nephrops norvegicus","Norway lobster","Celtic Seas Ecoregion","WGCSE","Working Group for the Celtic Seas Ecoregion","ADGNEPH","Celtic Sea Nephrops, anglerfish and Rockall megrim Advice Drafting Group","5.2",2023,3,2026,"no assessment",NA,"PA",NA,"not used","Yes in year(s) 2017, 2020","crustacean","Crustacean","crustacean",TRUE,"2024-03-07T13:44:23.607+01:00","5.3.28",18419,"2023-11-14T11:54:09.547+01:00",NA,NA
3414,169171,"nep.27.4outFU","Norway lobster (Nephrops norvegicus) in Subarea 4, outside the functional units (North Sea)",169658,"nep-oth-4",2023,"Nephrops norvegicus","Norway lobster","Greater North Sea Ecoregion","WGNSSK","Working Group on the Assessment of Demersal Stocks in the North Sea and Skagerrak","ADGNS","Advice Drafting Group for North Sea stocks","5.2",2022,2,2024,"no assessment",NA,"PA","Catches","not used","Yes in year(s) 2020","crustacean","Crustacean","crustacean",TRUE,"2024-03-07T13:44:23.607+01:00","6.3.25",NA,"2022-11-04T11:05:18.533+01:00",NA,NA
3448,169107,"gur.27.3-8","Red gurnard (Chelidonichthys cuculus) in subareas 3-8 (Northeast Atlantic)",140798,"gur-comb",2023,"Chelidonichthys cuculus","Red gurnard","Azores Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","WGWIDE","Working Group on Widely Distributed Stocks","ADGWIDE","Advice Drafting Group for Widely Distributed Stocks","3",2023,2,2025,"Survey trends-based assessment",NA,"PA","Landings","not used","Yes in year(s) 2019","demersal benthivore","Demersal","medium demersal",TRUE,"2024-03-07T13:44:23.607+01:00","9.3.18",18521,"2023-09-27T08:51:22.133+01:00","O","Unknown"
3215,169121,"her.27.irls","Herring (Clupea harengus) in divisions 7.a South of 52°30’N, 7.g-h, and 7.j-k (Irish Sea, Celtic Sea, and southwest of Ireland)",136557,"her-irls",2023,"Clupea harengus","Herring","Celtic Seas Ecoregion","HAWG","Herring Assessment Working Group for the Area South of 62° N","ADGCS","Celtic Sea Advice Drafting Group","1",2023,1,2024,"Age-structured model (ASAP), uses catches in the model and in the forecast",NA,"MSY","Catches","Assessment","NA","pelagic planktivore","Pelagic","medium pelagic",TRUE,"2024-03-07T13:44:23.607+01:00","5.3.19",17734,"2023-06-29T18:22:42.64+01:00","A","ASAP"
3482,169232,"rju.27.7de","Undulate ray (Raja undulata) in divisions 7.d and 7.e (English Channel)",136667,"rju-ech",2023,"Raja undulata","Undulate ray","Celtic Seas Ecoregion, Greater North Sea Ecoregion","WGEF","Working Group on Elasmobranch Fishes","ADGEF","Elasmobranch Stocks Advice Drafting Group","2",2022,2,2024,"Surplus Production Model in Continuous Time (SPiCT)",NA,"MSY","Landings","used in the model","NA","demersal omnivore","Elasmobranch","large rays",TRUE,"2024-03-07T13:44:23.607+01:00","5.3.50",NA,"2023-06-24T11:57:54.677+01:00",NA,"SPiCT"
3370,169206,"rjc.27.7e","Thornback ray (Raja clavata) in Division 7.e (western English Channel)",136645,"rjc-echw",2023,"Raja clavata","Thornback ray","Celtic Seas Ecoregion, Greater North Sea Ecoregion","WGEF","Working Group on Elasmobranch Fishes","ADGEF","Elasmobranch Stocks Advice Drafting Group","5.2",2022,2,2024,"no assessment",NA,"PA","Landings","Not used","Yes in year(s) 2016, 2020","demersal benthivore","Elasmobranch","large demersal",TRUE,"2024-03-07T13:44:23.607+01:00","5.3.42",NA,"2022-10-13T10:12:03.067+01:00",NA,NA
3371,169209,"rje.27.7fg","Small-eyed ray (Raja microocellata) in divisions 7.f and 7.g (Bristol Channel, Celtic Sea North)",136648,"rje-7fg",2023,"Raja microocellata","Small-eyed ray","Celtic Seas Ecoregion","WGEF","Working Group on Elasmobranch Fishes","ADGEF","Elasmobranch Stocks Advice Drafting Group","3",2022,2,2024,"Trends from biomass index and length-based indicators",NA,"MSY","Landings","Not used","Yes in year(s) 2014, 2020","demersal benthivore","Elasmobranch","medium rays",TRUE,"2024-03-07T13:44:23.607+01:00","5.3.44",NA,"2022-09-30T07:20:42.49+01:00",NA,NA
3372,169210,"rje.27.7de","Small-eyed ray (Raja microocellata) in divisions 7.d and 7.e (English Channel)",136649,"rje-ech",2023,"Raja microocellata","Small-eyed ray","Celtic Seas Ecoregion, Greater North Sea Ecoregion","WGEF","Working Group on Elasmobranch Fishes","ADGEF","Elasmobranch Stocks Advice Drafting Group","5.2",2022,2,2024,"no assessment",NA,"PA","Landings","Not used","Yes in year(s) 2014, 2018, 2022","demersal benthivore","Elasmobranch","medium rays",TRUE,"2024-03-07T13:44:23.607+01:00","5.3.43",NA,"2022-10-13T10:14:36.277+01:00",NA,NA
3373,169215,"rjh.27.7e","Blonde ray (Raja brachyura) in Division 7.e (western English Channel)",140793,"rjh-7e",2023,"Raja brachyura","Blonde ray","Celtic Seas Ecoregion, Greater North Sea Ecoregion","WGEF","Working Group on Elasmobranch Fishes","ADGEF","Elasmobranch Stocks Advice Drafting Group","5.2",2022,2,2024,"no assessment",NA,"PA","Landings","Not used","Yes in year(s) 2014, 2018, 2022","demersal benthivore","Elasmobranch","large demersal",TRUE,"2024-03-07T13:44:23.607+01:00","5.3.48",NA,"2022-10-13T10:23:43.13+01:00",NA,NA
3374,169255,"pil.27.8c9a","Sardine (Sardina pilchardus) in divisions 8.c and 9.a (Cantabrian Sea and Atlantic Iberian waters)",136692,"sar-soth",2023,"Sardina pilchardus","Sardine","Bay of Biscay and the Iberian Coast Ecoregion","WGHANSA","Working Group on Southern Horse Mackerel, Anchovy, and Sardine","ADGHANSA","Advice Drafting Grouy on Southern horse mackerel, anchovy, sardine","1",2023,1,2024,"Age- and length-structured model (SS3)",NA,"MSY","Catches","Not used","NA","pelagic planktivore","Pelagic","small pelagic",TRUE,"2024-03-07T13:44:23.607+01:00","",18502,"2024-01-18T16:31:20.84+01:00","AL","SS3"
3375,169110,"had.27.1-2","Haddock (Melanogrammus aeglefinus) in subareas 1 and 2 (Northeast Arctic)",136541,"had-arct",2023,"Melanogrammus aeglefinus","Haddock","Arctic Ocean Ecoregion, Barents Sea Ecoregion, Norwegian Sea Ecoregion","AFWG","Arctic Fisheries Working Group","ADGANW","Advice Drafting Group for Arctic and North-Western fish stocks","1",2021,1,2022,"Age based analytical assessment (SAM)that uses landings in the model and in the forecast",NA,"MP","Catches","not used","NA","demersal piscivore","Demersal","large demersal",TRUE,"2024-03-07T13:44:23.607+01:00","3.3.6",NA,"2022-09-30T13:15:20.303+01:00","A","SAM"
3376,169149,"nep.fu.14","Norway lobster (Nephrops norvegicus) in Division 7.a, Functional Unit 14 (Irish Sea, East)",136589,"nep-14",2023,"Nephrops norvegicus","Norway lobster","Celtic Seas Ecoregion","WGCSE","Working Group for the Celtic Seas Ecoregion","ADGNEPH","Celtic Sea Nephrops, anglerfish and Rockall megrim Advice Drafting Group","1",2023,1,2024,"Analytical model, underwater TV survey combined with yield-per-recruit analysis from length data",NA,"MSY","Catches","Assessment","NA","crustacean","Crustacean","crustacean",TRUE,"2024-03-07T13:44:23.607+01:00","5.3.13",18469,"2023-11-14T11:43:49.237+01:00","O","Unknown"
3377,169306,"whg.27.3a","Whiting (Merlangius merlangus) in Division 3.a (Skagerrak and Kattegat)",136742,"whg-kask",2023,"Merlangius merlangus","Whiting","Greater North Sea Ecoregion","WGNSSK","Working Group on the Assessment of Demersal Stocks in the North Sea and Skagerrak","ADGNS","Advice Drafting Group for North Sea stocks","3",2022,2,2024,"Method 2.2. RB rule.",NA,"PA","Catches","Advice","Yes in year(s) 2012, 2020","demersal piscivore","Demersal","medium benthopelagic",TRUE,"2024-03-07T13:44:23.607+01:00","6.3.55",NA,"2023-01-09T12:25:14.937+01:00",NA,NA
